,l,ls,epi,smt,para,i
143,0.4090248387722314,0.00013461232465641798,5,24,7,37
144,0.4434695961810504,0.00025329741992728303,6,1,1,11
145,0.4279047747921794,0.0002408222027064065,6,2,2,12
146,0.41308917699753855,0.00041124981687950174,6,3,3,13
147,0.41206419304725306,0.0001476709074831508,6,4,4,14
148,0.4115017897553364,0.0003378988341163268,6,5,5,15
149,0.40985459215149467,0.00040729502394601765,6,6,6,16
150,0.3986873666761053,0.00020975436925676008,6,7,7,17
151,0.4111953941073856,0.00019431366953201609,6,8,8,18
152,0.4156889077392867,0.0001857776634758561,6,9,9,19
153,0.440589137752332,0.00023170575187238569,6,10,1,21
154,0.4113118389448188,0.0003389981449015012,6,11,2,22
155,0.40362277215412135,0.00022938200171138207,6,12,3,23
156,0.4035253554933208,0.0004689186946993038,6,13,4,24
157,0.40269114914000304,0.00025765538110167715,6,14,5,25
158,0.4123477117824148,0.00017349239552872915,6,15,6,26
159,0.4058446973743829,0.0002892567949435623,6,16,7,27
160,0.4052808992739828,0.00025706286707775266,6,17,8,28
161,0.4346286509232504,8.510893682911956e-05,6,18,1,31
162,0.4146045436231989,0.00012248468105928597,6,19,2,32
163,0.41140050005474826,0.00029929462324961763,6,20,3,33
164,0.4079604410295284,0.00018172340296670992,6,21,4,34
165,0.4022366196652491,0.00017447350739454318,6,22,5,35
166,0.40136250641979415,0.0004242069687156484,6,23,6,36
167,0.3968691450791828,0.00020002679683793002,6,24,7,37
168,0.4544332474315478,0.00016743294854477337,7,1,1,11
169,0.4313236125033661,0.0002580939235135637,7,2,2,12
170,0.4184523720233641,0.0001338284817146265,7,3,3,13
171,0.41051238169601895,0.0002188428713288218,7,4,4,14
172,0.4098386954751442,0.0003735522335967115,7,5,5,15
173,0.4119397003097517,0.00021917072666712294,7,6,6,16
174,0.4067084428096417,0.000327050350897627,7,7,7,17
175,0.4048398105848789,0.00032442486022069776,7,8,8,18
176,0.406340076377135,0.00011552789022253125,7,9,9,19
177,0.4335797445999485,0.00011656072492702617,7,10,1,21
178,0.41505254276189374,0.0003763452036144031,7,11,2,22
179,0.40357317922270397,0.00018983468961724032,7,12,3,23
180,0.4080187237148608,0.000434625155789571,7,13,4,24
181,0.409377065983034,8.254698211329853e-05,7,14,5,25
182,0.409631779765988,0.0001987490581091992,7,15,6,26
183,0.4030462988213734,0.00031228452079921915,7,16,7,27
184,0.404897409160098,0.0003804612721710253,7,17,8,28
185,0.4339461318801515,0.0002248664526356685,7,18,1,31
186,0.4162190394459097,0.00018614075766832042,7,19,2,32
187,0.4080590428321816,0.00025018034216765247,7,20,3,33
188,0.4128836582972743,0.00031772315896066495,7,21,4,34
