,0,1,2,3
122,"[0.9846995303508298, 4.185644439114369e-06, 0.431274660189233, 5.294833487893815e-05, 0.13799995998298983, 5.935344017129937e-05]",3,7,22
123,"[0.9846995323595235, 1.6925532485734287e-06, 0.4332539181967161, 2.824811301134935e-05, 0.14005433213833776, 4.380774140332878e-05]",3,7,23
124,"[0.9846843190905832, 2.7569526058442423e-06, 0.43065077877478736, 4.183305852992634e-05, 0.14258404023710952, 6.527042404507304e-05]",3,7,24
125,"[0.9847109722820951, 1.8308891722789557e-06, 0.4285475623455707, 3.963656519912433e-05, 0.13844801141078353, 9.433030451121144e-05]",3,7,25
126,"[0.9848672349194517, 2.7625840085416433e-06, 0.43482360591966984, 8.781527125836845e-06, 0.14370252430024252, 7.08622391392723e-05]",3,7,26
127,"[0.9849456842172482, 4.004036647491921e-06, 0.43822398897968456, 4.482470817172915e-05, 0.14331616472014588, 8.032906774475864e-05]",3,7,27
128,"[0.9849024065593281, 2.362964781405988e-06, 0.4331215403881837, 1.8941542715535243e-05, 0.14099160713359368, 5.779689990084627e-05]",3,7,28
129,"[0.9846205729404304, 1.4025236496297049e-06, 0.4228075072727662, 2.6069510528860175e-05, 0.13586740074532228, 3.802167716271697e-05]",3,7,29
130,"[0.9846521261225466, 4.726243149328009e-06, 0.4305543351521927, 3.239347107639433e-05, 0.13921299933849013, 0.0001329944518394863]",3,7,30
131,"[0.9849609421844571, 1.6807919386120298e-06, 0.4350076081507018, 5.239176031194576e-05, 0.1437743831009474, 4.960836280127685e-05]",3,7,31
132,"[0.9849434322382788, 3.948811375986225e-06, 0.4379738809430561, 1.4190757583513854e-05, 0.14532506325752229, 5.0881449270560116e-05]",3,7,32
133,"[0.9848334137822503, 1.8431670574229547e-06, 0.43419676455478884, 5.050021159782109e-05, 0.1373602148497502, 3.374380362620176e-05]",3,7,33
134,"[0.9848176930152397, 5.2354463064910885e-06, 0.43166305657977955, 1.3519801854331562e-05, 0.13840165891888634, 6.694227798186695e-05]",3,7,34
135,"[0.9848717737997722, 2.2425408217631105e-06, 0.43642889124632883, 1.360169047579615e-05, 0.1406628628352907, 4.370286947843271e-05]",3,7,35
136,"[0.9848597317461466, 3.0171697448479147e-06, 0.43175806153758334, 7.854749690746385e-06, 0.1394284364306143, 6.923983803865744e-05]",3,7,36
137,"[0.9848662360640396, 1.6735665150810517e-06, 0.43565153559268127, 3.365340464515349e-05, 0.14258860162904172, 4.140124191461226e-05]",3,7,37
138,"[0.984914235348413, 1.4089627482023102e-06, 0.43430585670538396, 1.7134840626650858e-05, 0.14120404840790854, 5.1448307694306055e-05]",3,7,38
139,"[0.9848675608744076, 1.2387356457451051e-06, 0.43178880840548467, 5.251715979442897e-05, 0.14167258690058926, 5.312803814266956e-05]",3,7,39
140,"[0.9847724703073922, 4.8068257730671075e-06, 0.432916262932515, 3.8099354558441935e-05, 0.13696765415129386, 0.00012302459612049084]",3,7,40
141,"[0.9847896542052086, 3.333431487084027e-06, 0.4400950702175357, 6.97855788368781e-05, 0.14235707550449847, 8.193667333149298e-05]",3,7,41
142,"[0.9834714591938826, 1.5964494397850072e-06, 0.4276330822796307, 3.241959172981204e-05, 0.13683789536265226, 0.00011310571966412493]",3,7,42
143,"[0.9840310055041583, 1.285882247476496e-06, 0.43279407674355175, 1.26282266116801e-05, 0.1396846660275665, 8.842849177011687e-05]",3,7,43
144,"[0.9848953450157103, 2.5060489199716932e-06, 0.4316401907153618, 2.9483464970996254e-05, 0.14533456716182655, 0.00010272889931028069]",3,7,44
145,"[0.9846769082561564, 1.7686161372548903e-06, 0.4325607686546547, 2.220236192484494e-05, 0.13816874838500817, 3.560767338393551e-05]",3,7,45
146,"[0.9845648151674795, 1.6784504093509962e-06, 0.4389138895673361, 3.469400173336154e-05, 0.14243751635583085, 4.944615773171413e-05]",3,7,46
147,"[0.984704782735887, 1.3226989396182266e-06, 0.4291438671470717, 2.733453772130993e-05, 0.13719401116100544, 4.306462336968008e-05]",3,7,47
148,"[0.9848107475003168, 4.677410883806272e-06, 0.42999621931967863, 5.6411548558819136e-05, 0.14203682796769804, 0.0001137521059089521]",3,7,48
149,"[0.9845739091342216, 3.0708416530888174e-06, 0.4251079007086195, 4.027854188915455e-05, 0.13625480496848513, 8.403649882071547e-05]",3,7,49
150,"[0.9824351322133971, 3.4437800767218725e-06, 0.42795583784883967, 2.7747582463119014e-05, 0.1304988342011391, 0.0001013635339841796]",4,6,0
151,"[0.9825413977615653, 4.2979771563764205e-06, 0.4310522351942563, 3.290062602002642e-05, 0.13447002721559256, 4.874733326552502e-05]",4,6,1
152,"[0.9825008873287318, 1.7560611631286932e-06, 0.43069779226768135, 2.4614586563352734e-05, 0.13068509527794037, 3.873762265726185e-05]",4,6,2
153,"[0.982532663050408, 5.961887842050822e-06, 0.43204379991142156, 4.862631804775809e-05, 0.13211521934947268, 8.340144458140442e-05]",4,6,3
154,"[0.9825063094922262, 1.2608038924466189e-06, 0.4300183210396499, 2.1502165929061298e-05, 0.12960520329678019, 6.316322562266125e-05]",4,6,4
155,"[0.9824048665373735, 2.2267929585800914e-06, 0.42916700866454466, 1.9407238788568978e-05, 0.12993914740765392, 4.201181153393449e-05]",4,6,5
156,"[0.9825744777905028, 5.7348227789805465e-06, 0.43288647378209577, 5.118513464477027e-05, 0.13094731628919137, 0.00011682694077160889]",4,6,6
157,"[0.9826208158781938, 4.354199199540526e-06, 0.43449243593988546, 1.3290026796221749e-05, 0.13004216065057858, 6.015368346206217e-05]",4,6,7
158,"[0.9826758652497746, 1.1465558706073253e-06, 0.43906640798558766, 1.2915387481904455e-05, 0.1307618654473225, 6.083182841832942e-05]",4,6,8
159,"[0.9824260302825155, 1.3965666026723816e-06, 0.4282831763807491, 1.3019690010622057e-05, 0.13018669030891686, 5.9213658385360266e-05]",4,6,9
160,"[0.9825630403566759, 2.9175365742070554e-06, 0.4315980508225721, 2.321948886437078e-05, 0.1315739050386069, 4.717311104108109e-05]",4,6,10
161,"[0.9825792042577173, 2.1217328878091053e-06, 0.43137384156285086, 3.194461442084083e-05, 0.12697280223929255, 5.298599439444501e-05]",4,6,11
162,"[0.9826314657594272, 4.515037522193994e-06, 0.4360533221273321, 3.0451680168814216e-05, 0.13199083759146893, 4.378484355958642e-05]",4,6,12
163,"[0.9822918180607898, 3.317705310061269e-06, 0.42580481379042223, 3.258062886634627e-05, 0.12818788761187544, 6.704143929250584e-05]",4,6,13
164,"[0.9825709017728279, 4.052910286596831e-06, 0.4318421860260336, 2.3318730839891737e-05, 0.13193821101450168, 9.02896928439194e-05]",4,6,14
165,"[0.982544462465873, 3.825725208632181e-06, 0.4284693855484063, 3.337343301486445e-05, 0.12943594207341655, 0.00011836317051128863]",4,6,15
166,"[0.9825699893124897, 4.152880399479885e-06, 0.4305867699394197, 4.086283091560316e-05, 0.130405814939248, 5.601224955371595e-05]",4,6,16
167,"[0.9823281912071261, 2.2958976420145864e-06, 0.42489523055482664, 4.998464984661928e-05, 0.12659252558708292, 5.272169349465342e-05]",4,6,17
168,"[0.9826667306742206, 3.169480230451538e-06, 0.4400242773490893, 3.05638940892156e-05, 0.13121095191418516, 5.814469601288925e-05]",4,6,18
